mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320
18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite
16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst
,8,302.0,140.0,3449,10.5,70,1,ford torino
15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500
14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala
14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii
14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina
15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl
15.0,8,,170.0,3563,10.0,70,1,dodge challenger se
14.0,8,340.0,160.0,3609,8.0,70,1,plymouth cuda 340
15.0,8,400.0,150.0,3761,9.5,70,1,ford mustang boss 302
14.0,8,455.0,225.0,3086,10.0,70,1,buick estate wagon
24.0,4,113.0,95.0,2372,15.0,70,3,toyota corona mark ii
22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster
18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet
21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick
27.0,4,97.0,88.0,2130,14.5,70,3,datsun pl510
26.0,4,97.0,46.0,,20.5,70,2,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.0,2672,17.5,70,2,peugeot 504
24.0,4,107.0,90.0,2430,14.5,70,2,audi 100 ls
25.0,4,104.0,95.0,2375,17.5,70,2,saab 99e
26.0,4,121.0,113.0,2234,12.5,70,2,bmw 2002
21.0,6,199.0,90.0,2648,15.0,70,1,amc gremlin
10.0,8,360.0,215.0,4615,14.0,70,1,ford f250
10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20
11.0,8,318.0,210.0,4382,13.5,70,1,dodge d200
9.0,8,304.0,193.0,4732,,70,1,hi 1200d
27.0,4,97.0,88.0,2130,14.5,71,3,datsun pl510
28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300
25.0,4,113.0,95.0,2228,14.0,71,3,toyota corona
25.0,4,98.0,?,2046,19.0,71,1,ford pinto
19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin
16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom
17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu
19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500
,6,232.0,100.0,3288,15.5,71,1,amc matador
14.0,8,350.0,165.0,4209,12.0,71,1,chevrolet impala
14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham
14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500
14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii
12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco brougham
13.0,8,400.0,170.0,4746,12.0,71,1,mercury marquis brougham
13.0,8,400.0,175.0,5140,12.0,71,1,buick lesabre custom
18.0,6,258.0,110.0,2962,13.5,71,1,amc hornet
22.0,,140.0,72.0,2408,19.0,71,1,chevrolet vega
19.0,6,250.0,100.0,3282,15.0,71,1,ford maverick
18.0,6,250.0,88.0,3139,14.5,71,1,plymouth duster
23.0,4,122.0,86.0,2220,14.0,71,1,amc gremlin
28.0,4,116.0,90.0,2123,14.0,71,2,opel 1900
30.0,4,79.0,70.0,2074,19.5,71,2,peugeot 304
30.0,4,88.0,76.0,2065,14.5,71,2,fiat 124b
31.0,4,71.0,65.0,1773,19.0,71,3,toyota corolla 1200
35.0,4,72.0,69.0,1613,18.0,71,3,datsun 1200
27.0,4,97.0,60.0,1834,19.0,71,3,toyota corolla
26.0,4,91.0,70.0,1955,20.5,71,3,honda civic
24.0,4,113.0,95.0,2278,15.5,72,3,toyota corona hardtop
25.0,4,116.0,81.0,2220,16.9,72,2,audi 100ls
23.0,4,140.0,?,2408,19.0,72,1,chevrolet vega
20.0,4,97.0,88.0,2279,19.0,72,3,datsun 510
21.0,4,122.0,86.0,2226,16.5,72,1,amc hornet sportabout
13.0,8,350.0,165.0,4274,12.0,72,1,buick skylark 320
14.0,8,400.0,175.0,4385,12.0,72,1,chevrolet monte carlo
15.0,8,318.0,150.0,4135,13.5,72,1,dodge polara custom
14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500
17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst
11.0,8,429.0,208.0,,11.0,72,1,mercury marquis
13.0,8,350.0,155.0,4502,13.5,72,1,buick century 350
12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile cutlass supreme
13.0,8,400.0,190.0,4422,12.5,72,1,dodge monaco
19.0,3,70.0,97.0,2330,13.5,72,3,mazda rx2 coupe
15.0,8,304.0,150.0,3892,12.5,72,1,amc matador
13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours
